Level	Symbol	Bonus Points	Pac Speed	Ghost Speed	Ghost Tunnel Speed	Elroy 1 dots	Elroyspeed	Elroy 2 dots	Elroy 2 speed	Fright Pac Speed	Fright Ghost Speed	Fright time	flashnum
1	Cherries	100	80	75	40	20	80	10	85	90	50	6	5
2	Strawberry	300	90	85	45	30	90	15	95	95	55	5	5
3	Peach	500	90	85	45	40	90	20	95	95	55	4	5
4	Peach	500	90	85	45	40	90	20	95	95	55	3	5
5	Apple	700	100	95	50	40	100	25	105	100	60	2	5
6	Apple	700	100	95	50	50	100	25	105	100	60	5	5
7	Grapes	1000	100	95	50	50	100	25	105	100	60	2	5
8	Grapes	1000	100	95	50	50	100	30	105	100	60	2	5
9	Galaxian	2000	100	95	50	60	100	30	105	100	60	1	3
10	Galaxian	2000	100	95	50	60	100	40	105	100	60	5	5
11	Bell	3000	100	95	50	60	100	40	105	100	60	2	5
12	Bell	3000	100	95	50	80	100	40	105	100	60	1	3
13	Key	5000	100	95	50	80	100	50	105	100	60	1	3
14	Key	5000	100	95	50	80	100	50	105	100	60	3	5
15	Key	5000	100	95	50	100	100	50	105	100	60	1	3
16	Key	5000	100	95	50	100	100	50	105	100	60	1	3
17	Key	5000	100	95	50	100	100	50	105	0	0	0	0
18	Key	5000	100	95	50	100	100	50	105	100	60	1	3
19	Key	5000	100	95	50	120	100	50	105	0	0	0	0
20	Key	5000	100	95	50	120	100	50	105	0	0	0	0
21	Key	5000	90	95	50	120	100	50	105	0	0	0	0

